incident_year,recovery_status,provoked_unprovoked,victim_activity
1957.0,injured,provoked,spearfishing
1957.0,injured,provoked,snorkelling
1958.0,injured,unprovoked,swimming
1958.0,injured,provoked,spearfishing
1958.0,uninjured,provoked,fishing
1958.0,fatal,provoked,spearfishing
1958.0,uninjured,provoked,spearfishing
1958.0,injured,provoked,spearfishing
1958.0,fatal,unprovoked,swimming
1959.0,injured,provoked,fishing
1959.0,injured,unprovoked,swimming
1959.0,fatal,provoked,swimming
1959.0,injured,unprovoked,unmotorised boating
1959.0,uninjured,provoked,spearfishing
1959.0,injured,provoked,
1959.0,injured,provoked,swimming
1959.0,injured,unprovoked,swimming
1959.0,fatal,unprovoked,swimming
1959.0,uninjured,provoked,boarding
1960.0,injured,provoked,spearfishing
1960.0,fatal,unprovoked,snorkelling
1960.0,injured,provoked,spearfishing
1960.0,injured,unprovoked,swimming
1960.0,uninjured,provoked,spearfishing
1960.0,injured,unprovoked,swimming
1960.0,injured,provoked,spearfishing
1960.0,injured,unprovoked,swimming
1960.0,injured,unprovoked,swimming
1961.0,injured,provoked,swimming
1961.0,injured,unprovoked,swimming
1961.0,uninjured,provoked,spearfishing
1961.0,injured,provoked,spearfishing
1961.0,injured,unprovoked,swimming
1961.0,injured,provoked,spearfishing
1961.0,uninjured,provoked,spearfishing
1961.0,fatal,unprovoked,boarding
1961.0,injured,unprovoked,swimming
1961.0,fatal,unprovoked,swimming
1961.0,injured,unprovoked,swimming
1962.0,injured,unprovoked,boarding
1962.0,uninjured,unprovoked,boarding
1962.0,injured,provoked,swimming
1962.0,uninjured,provoked,spearfishing
1962.0,fatal,provoked,spearfishing
1963.0,fatal,unprovoked,other: standing in water
1963.0,injured,provoked,spearfishing
1963.0,injured,unprovoked,boarding
1963.0,injured,provoked,spearfishing
1964.0,uninjured,provoked,spearfishing
1964.0,injured,provoked,spearfishing
1964.0,injured,unprovoked,boarding
1964.0,injured,provoked,swimming
1964.0,injured,provoked,snorkelling
1965.0,injured,provoked,other: standing in water
1965.0,injured,unprovoked,boarding
1965.0,injured,provoked,spearfishing
1966.0,injured,unprovoked,swimming
1966.0,fatal,unprovoked,swimming
1966.0,uninjured,provoked,spearfishing
1966.0,injured,provoked,spearfishing
1966.0,injured,provoked,spearfishing
1966.0,injured,provoked,swimming
1966.0,injured,provoked,spearfishing
1967.0,injured,provoked,spearfishing
1967.0,fatal,provoked,spearfishing
1968.0,injured,unprovoked,swimming
1968.0,uninjured,provoked,spearfishing
1968.0,uninjured,provoked,diving
1969.0,injured,provoked,snorkelling
1969.0,injured,provoked,spearfishing
1969.0,injured,unprovoked,swimming
1971.0,injured,unprovoked,swimming
1971.0,injured,provoked,spearfishing
1971.0,fatal,unprovoked,swimming
1972.0,injured,unprovoked,boarding
1972.0,injured,unprovoked,swimming
1972.0,injured,provoked,diving
1972.0,injured,unprovoked,boarding
1972.0,injured,provoked,spearfishing
1972.0,uninjured,provoked,diving
1973.0,injured,unprovoked,boarding
1973.0,injured,unprovoked,swimming
1973.0,injured,unprovoked,boarding
1973.0,injured,unprovoked,swimming
1974.0,fatal,provoked,diving
1974.0,fatal,unprovoked,swimming
1974.0,injured,unprovoked,diving
1975.0,fatal,unprovoked,boarding
1975.0,injured,unprovoked,boarding
1975.0,fatal,provoked,snorkelling
1975.0,injured,provoked,snorkelling
1975.0,injured,unprovoked,swimming
1975.0,injured,unprovoked,boarding
1975.0,fatal,provoked,diving
1975.0,injured,provoked,spearfishing
1976.0,injured,provoked,spearfishing
1977.0,injured,unprovoked,boarding
1977.0,fatal,unprovoked,swimming
1977.0,fatal,unprovoked,swimming
1977.0,injured,unprovoked,swimming
1977.0,fatal,unprovoked,snorkelling
1977.0,injured,unprovoked,boarding
1978.0,uninjured,unprovoked,boarding
1978.0,uninjured,provoked,diving
1978.0,injured,unprovoked,swimming
1979.0,uninjured,provoked,swimming
1979.0,injured,unprovoked,swimming
1980.0,injured,provoked,diving
1980.0,injured,provoked,spearfishing
1980.0,injured,unprovoked,boarding
1980.0,uninjured,unprovoked,boarding
1980.0,injured,provoked,diving
1980.0,injured,unprovoked,swimming
1981.0,uninjured,unprovoked,boarding
1981.0,injured,unprovoked,swimming
1981.0,injured,unprovoked,other: standing in water
1981.0,injured,unprovoked,swimming
1982.0,uninjured,provoked,diving
1982.0,fatal,provoked,spearfishing
1982.0,fatal,unprovoked,boarding
1983.0,uninjured,unprovoked,swimming
1983.0,fatal,unprovoked,swimming
1983.0,fatal,unprovoked,swimming
1983.0,injured,unprovoked,swimming
1983.0,injured,provoked,diving
1984.0,injured,unprovoked,swimming
1984.0,injured,unprovoked,other: standing in water
1984.0,injured,unprovoked,other: standing in water
1984.0,uninjured,provoked,diving
1984.0,injured,unprovoked,other: standing in water
1984.0,uninjured,unprovoked,boarding
1984.0,uninjured,provoked,diving
1984.0,fatal,unprovoked,swimming
1985.0,uninjured,unprovoked,boarding
1985.0,injured,provoked,diving
1985.0,fatal,unprovoked,snorkelling
1985.0,injured,provoked,diving
1985.0,injured,provoked,diving
1986.0,fatal,provoked,spearfishing
1986.0,injured,provoked,swimming
1986.0,injured,unprovoked,diving
1986.0,injured,unprovoked,diving
1986.0,uninjured,unprovoked,boarding
1987.0,injured,unprovoked,swimming
1987.0,injured,provoked,diving
1987.0,injured,provoked,diving
1987.0,fatal,unprovoked,boarding
1987.0,injured,unprovoked,boarding
1987.0,injured,unprovoked,swimming
1987.0,fatal,unprovoked,diving
1987.0,injured,unprovoked,swimming
1987.0,uninjured,provoked,diving
1988.0,injured,unprovoked,swimming
1988.0,injured,unprovoked,boarding
1988.0,uninjured,provoked,spearfishing
1988.0,injured,unprovoked,boarding
1988.0,fatal,unprovoked,swimming
1988.0,fatal,unprovoked,swimming
1989.0,injured,provoked,diving
1989.0,uninjured,unprovoked,boarding
1989.0,injured,unprovoked,snorkelling
1989.0,injured,unprovoked,boarding
1989.0,uninjured,provoked,snorkelling
1989.0,injured,provoked,spearfishing
1989.0,fatal,unprovoked,boarding
1989.0,uninjured,unprovoked,boarding
1989.0,uninjured,unprovoked,boarding
1989.0,injured,unprovoked,swimming
1989.0,injured,unprovoked,boarding
1989.0,injured,unprovoked,swimming
1989.0,injured,unprovoked,diving
1989.0,injured,provoked,swimming
1990.0,uninjured,unprovoked,boarding
1990.0,uninjured,unprovoked,boarding
1990.0,fatal,provoked,snorkelling
1990.0,injured,provoked,snorkelling
1990.0,injured,provoked,snorkelling
1990.0,injured,unprovoked,other: standing in water
1990.0,injured,unprovoked,swimming
1990.0,injured,unprovoked,boarding
1990.0,injured,unprovoked,swimming
1991.0,injured,unprovoked,boarding
1991.0,uninjured,provoked,spearfishing
1991.0,uninjured,unprovoked,snorkelling
1991.0,injured,unprovoked,swimming
1991.0,injured,provoked,diving
